Player,Last Name,Position,Team
Kyler,Murray,QB,ARI
Trace,McSorley,QB,ARI
Marcus,Mariota,QB,ATL
Desmond,Ridder,QB,ATL
Lamar,Jackson,QB,BAL
Tyler,Huntley,QB,BAL
Josh,Allen,QB,BUF
Matt,Barkley,QB,BUF
Baker,Mayfield,QB,CAR
Sam,Darnold,QB,CAR
Matt,Corral,QB,CAR
Justin,Fields,QB,CHI
Trevor,Siemian,QB,CHI
Joe,Burrow,QB,CIN
Brandon,Allen,QB,CIN
Deshaun,Watson,QB,CLE
Jacoby,Brissett,QB,CLE
Joshua,Dobbs,QB,CLE
Dak,Prescott,QB,DAL
Cooper,Rush,QB,DAL
Ben,DiNucci,QB,DAL
Russell,Wilson,QB,DEN
Brett,Rypien,QB,DEN
Jared,Goff,QB,DET
Tim,Boyle,QB,DET
Aaron,Rodgers,QB,GB
Jordan,Love,QB,GB
Davis,Mills,QB,HOU
Matt,Ryan,QB,IND
Trevor,Lawrence,QB,JAX
Patrick,Mahomes,QB,KC
Chad,Henne,QB,KC
Justin,Herbert,QB,LAC
Matthew,Stafford,QB,LAR
John,Wolford,QB,LAR
Derek,Carr,QB,LV
Nick,Mullens,QB,LV
Jarrett,Stidham,QB,LV
Tua,Tagovailoa,QB,MIA
Teddy,Bridgewater,QB,MIA
Kirk,Cousins,QB,MIN
Kellen,Mond,QB,MIN
Mac,Jones,QB,NE
Bailey,Zappe,QB,NE
Jameis,Winston,QB,NO
Andy,Dalton,QB,NO
Ian,Book,QB,NO
Daniel,Jones,QB,NYG
Tyrod,Taylor,QB,NYG
Zach,Wilson,QB,NYJ
Mike,White,QB,NYJ
Jalen,Hurts,QB,PHI
Gardner,Minshew,QB,PHI
Kenny,Pickett,QB,PIT
Mitchell,Trubisky,QB,PIT
Mason,Rudolph,QB,PIT
Drew,Lock,QB,SEA
Geno,Smith,QB,SEA
Trey,Lance,QB,SF
Jimmy,Garoppolo,QB,SF
Brock,Purdy,QB,SF
Tom,Brady,QB,TB
Kyle,Trask,QB,TB
Ryan,Tannehill,QB,TEN
Malik,Willis,QB,TEN
Carson,Wentz,QB,WAS
Taylor,Heinicke,QB,WAS
Colin,Kaepernick,QB,
Jake,Fromm,QB,
Anthony,Gordon,QB,
